SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
539124,Sarvottam Finvest Ltd,Active,X,10.0,INE822Q01015,,SARVOTTAM,Equity,https://www.bseindia.com/stock-share-price/sarvottam-finvest-ltd/sarvottam/539124/,Sarvottam Finvest Limited,15.00
539126,MEP Infrastructure Developers Ltd,Active,Z,10.0,INE776I01010,,MEP,Equity,https://www.bseindia.com/stock-share-price/mep-infrastructure-developers-ltd/mep/539126/,MEP Infrastructure Developers Limited,10.46
539132,Wardwizard Foods and Beverages Ltd,Active,X,1.0,INE761D01021,,WARDWIZFBL,Equity,https://www.bseindia.com/stock-share-price/wardwizard-foods-and-beverages-ltd/wardwizfbl/539132/,Wardwizard Foods and Beverages Limited,267.94
539141,UFO Moviez India Ltd,Active,B,10.0,INE527H01019,,UFO,Equity,https://www.bseindia.com/stock-share-price/ufo-moviez-india-ltd/ufo/539141/,UFO Moviez India Limited,263.89
539143,Panth Infinity Ltd,Active,XT,10.0,INE945O01019,,PANTH,Equity,https://www.bseindia.com/stock-share-price/panth-infinity-ltd/panth/539143/,PANTH INFINITY LIMITED,58.80
539148,Shivalik Rasayan Ltd,Active,T,5.0,INE788J01021,,SHIVALIK,Equity,https://www.bseindia.com/stock-share-price/shivalik-rasayan-ltd/shivalik/539148/,Shivalik Rasayan Ltd.,409.51
539149,Integrated Capital Services Ltd,Active,X,1.0,INE682B01023,,ICSL,Equity,https://www.bseindia.com/stock-share-price/integrated-capital-services-ltd/icsl/539149/,Integrated Capital Services Ltd,13.24
539150,PNC Infratech Ltd,Active,A,2.0,INE195J01029,,PNCINFRA,Equity,https://www.bseindia.com/stock-share-price/pnc-infratech-ltd/pncinfra/539150/,PNC Infratech Limited,6154.37
539151,Arfin India Ltd,Active,B,1.0,INE784R01023,,ARFIN,Equity,https://www.bseindia.com/stock-share-price/arfin-india-ltd/arfin/539151/,Arfin India Limited,1461.64
539167,Virat Leasing Ltd,Active,X,5.0,INE347L01022,,VLL,Equity,https://www.bseindia.com/stock-share-price/virat-leasing-ltd/vll/539167/,Virat Leasing Limited,145.38
539174,Helpage Finlease Ltd,Active,X,10.0,INE738P01015,,HELPAGE,Equity,https://www.bseindia.com/stock-share-price/helpage-finlease-ltd/helpage/539174/,Helpage Finlease Ltd.,21.17
539176,Hawa Engineers Ltd,Active,X,10.0,INE230I01018,,HAWAENG,Equity,https://www.bseindia.com/stock-share-price/hawa-engineers-ltd/hawaeng/539176/,Hawa Engineers ltd.,29.27
539177,Authum Investment & Infrastructure Ltd,Active,A,1.0,INE206F01022,,AIIL,Equity,https://www.bseindia.com/stock-share-price/authum-investment--infrastructure-ltd/aiil/539177/,Authum Investment & Infrastructure Limited,50635.07
539189,Adhbhut Infrastructure Ltd,Active,X,10.0,INE578L01014,,ADHBHUTIN,Equity,https://www.bseindia.com/stock-share-price/adhbhut-infrastructure-ltd/adhbhutin/539189/,Adhbhut Infrastructure Ltd.,16.94
539190,Decillion Finance Ltd,Active,X,10.0,INE848N01017,,DFL,Equity,https://www.bseindia.com/stock-share-price/decillion-finance-ltd/dfl/539190/,Decillion Finance Ltd.,12.43
539195,POCL Enterprises Ltd,Active,X,2.0,INE035S01028,,POEL,Equity,https://www.bseindia.com/stock-share-price/pocl-enterprises-ltd/poel/539195/,POCL ENTERPRISES LTD,520.10
539196,Amba Enterprises Ltd,Active,X,5.0,INE829P01020,,AEL,Equity,https://www.bseindia.com/stock-share-price/amba-enterprises-ltd/ael/539196/,Amba Enterprises Ltd.,142.37
539199,SG Finserve Ltd,Active,B,10.0,INE618R01015,,SGFIN,Equity,https://www.bseindia.com/stock-share-price/sg-finserve-ltd/sgfin/539199/,SG FINSERVE LIMITED,3963.79
539200,Noble Polymers Ltd,Active,XT,5.0,INE203Q01026,,NOBPOL,Equity,https://www.bseindia.com/stock-share-price/noble-polymers-ltd/nobpol/539200/,NOBLE POLYMERS LIMITED,5.36
539201,Satia Industries Ltd,Active,B,1.0,INE170E01023,,SATIA,Equity,https://www.bseindia.com/stock-share-price/satia-industries-ltd/satia/539201/,SATIA INDUSTRIES LIMITED,637.50
539206,Genomic Valley Biotech Ltd,Active,X,10.0,INE574D01010,,GVBL,Equity,https://www.bseindia.com/stock-share-price/genomic-valley-biotech-ltd/gvbl/539206/,GENOMIC VALLEY BIOTECH LIMITED,8.78
539216,Garment Mantra Lifestyle Ltd,Active,X,1.0,INE653S01028,,GARMNTMNTR,Equity,https://www.bseindia.com/stock-share-price/garment-mantra-lifestyle-ltd/garmntmntr/539216/,GARMENT MANTRA LIFESTYLE LIMITED,65.92
539217,Srestha Finvest Ltd,Active,XT,1.0,INE606K01049,,SRESTHA,Equity,https://www.bseindia.com/stock-share-price/srestha-finvest-ltd/srestha/539217/,Srestha Finvest Limited,47.56
539218,Saumya Consultants Ltd,Active,X,10.0,INE563C01015,,SAUMYA,Equity,https://www.bseindia.com/stock-share-price/saumya-consultants-ltd/saumya/539218/,Saumya Consultants Ltd.,73.90
539219,Mauria Udyog Ltd,Active,X,1.0,INE150D01027,,MUL,Equity,https://www.bseindia.com/stock-share-price/mauria-udyog-ltd/mul/539219/,MAURIA UDYOG LIMITED,103.50
539220,Mishka Exim Ltd,Active,X,10.0,INE540S01019,,MISHKA,Equity,https://www.bseindia.com/stock-share-price/mishka-exim-ltd/mishka/539220/,Mishka Exim Limited,65.03
539221,Sportking India Ltd,Active,B,1.0,INE885H01029,,SPORTKING,Equity,https://www.bseindia.com/stock-share-price/sportking-india-ltd/sportking/539221/,Sportking India Ltd.,2630.39
539222,Growington Ventures India Ltd,Active,B,1.0,INE451S01027,,GROWINGTON,Equity,https://www.bseindia.com/stock-share-price/growington-ventures-india-ltd/growington/539222/,GROWINGTON VENTURES INDIA LIMITED,45.60
539224,HCKK Ventures Ltd,Active,XT,10.0,INE345Q01017,,HCKKVENTURE,Equity,https://www.bseindia.com/stock-share-price/hckk-ventures-ltd/hckkventure/539224/,HCKK Ventures Limited,13.36
539226,Rudra Global Infra Products Ltd,Active,B,5.0,INE027T01023,,RUDRA,Equity,https://www.bseindia.com/stock-share-price/rudra-global-infra-products-ltd/rudra/539226/,RUDRA GLOBAL INFRA PRODUCTS LIMITED,179.41
539227,Loyal Equipments Ltd,Active,X,10.0,INE876S01017,,LOYAL,Equity,https://www.bseindia.com/stock-share-price/loyal-equipments-ltd/loyal/539227/,Loyal Equipments Limited,165.19
